Designator,Mid X,Mid Y,Rotation,Layer
BT1,58.875,-38.695,270,bottom
C1,46.875,-36.495,0,bottom
C10,21.01,-36.195,90,bottom
C11,17.845,-36.195,90,bottom
C12,19.275,-34.795,180,bottom
C13,19.175,-33.595,180,bottom
C14,27.41,-32.395,0,bottom
C15,25.275,-31.845,270,bottom
C16,26.91,-31.095,0,bottom
C2,51.91,-40.7,270,bottom
C20,31.825,-44.095,180,bottom
C21,31.725,-41.345,270,bottom
C22,33.825,-40.695,270,bottom
C23,29.81,-31.695,270,bottom
C24,22.875,-42.795,0,bottom
C25,26.875,-42.795,180,bottom
C26,24.025,-31.895,90,bottom
C27,31.11,-32.195,270,bottom
C3,43.675,-40.395,270,bottom
C4,37.875,-40.395,270,bottom
C5,22.575,-31.395,270,bottom
C6,17.575,-31.195,90,bottom
C7,33.375,-33.995,0,bottom
C8,33.375,-36.295,0,bottom
C9,20.675,-38.145,180,bottom
D10,134.375,-9.195,90,bottom
D11,153.375,-9.195,90,bottom
D12,172.375,-9.195,90,bottom
D13,191.375,-9.195,90,bottom
D14,210.875,-9.195,90,bottom
D15,229.875,-9.195,90,bottom
D16,248.875,-9.195,90,bottom
D17,270.56,-14.095,180,bottom
D18,10.56,-21.595,270,bottom
D19,34.31,-21.595,270,bottom
D20,53.31,-21.595,270,bottom
D21,72.31,-21.595,270,bottom
D22,91.31,-21.595,270,bottom
D23,110.21,-21.595,270,bottom
D24,129.31,-21.595,270,bottom
D25,148.31,-21.595,270,bottom
D26,167.21,-21.595,270,bottom
D27,186.21,-21.595,270,bottom
D28,205.31,-21.595,270,bottom
D29,224.41,-21.595,270,bottom
D3,8.06,-14.445,0,bottom
D30,243.81,-21.595,270,bottom
D31,267.61,-21.595,270,bottom
D32,10.21,-52.095,0,bottom
D33,35.275,-48.395,90,bottom
D34,53.81,-46.595,90,bottom
D35,73.01,-46.695,90,bottom
D36,92.11,-46.695,90,bottom
D37,111.11,-46.695,90,bottom
D38,130.11,-46.695,90,bottom
D39,149.11,-46.695,90,bottom
D4,36.41,-9.195,90,bottom
D40,168.21,-46.695,90,bottom
D41,187.31,-46.595,90,bottom
D42,206.21,-46.695,90,bottom
D43,225.31,-46.695,90,bottom
D44,256.01,-46.695,90,bottom
D45,13.71,-65.695,90,bottom
D46,44.41,-65.595,90,bottom
D47,63.31,-65.695,90,bottom
D48,82.51,-65.595,90,bottom
D49,101.61,-65.695,90,bottom
D5,39.31,-9.195,90,bottom
D50,120.61,-65.595,90,bottom
D51,139.81,-65.695,90,bottom
D52,158.81,-65.695,90,bottom
D53,177.81,-65.595,90,bottom
D54,197.01,-65.795,90,bottom
D55,216.11,-65.695,90,bottom
D56,241.11,-65.795,90,bottom
D57,268.31,-65.695,90,bottom
D58,3.11,-84.695,90,bottom
D59,26.21,-84.595,90,bottom
D6,58.375,-9.195,90,bottom
D60,50.875,-84.695,90,bottom
D61,121.51,-84.695,90,bottom
D62,193.56,-84.695,90,bottom
D63,216.075,-84.695,90,bottom
D64,239.675,-84.695,90,bottom
D65,263.275,-84.895,90,bottom
D7,77.375,-9.195,90,bottom
D8,96.375,-9.195,90,bottom
D9,115.375,-9.195,90,bottom
J1,106.275,-39.295,270,bottom
J4,18.4,-4.2,180,bottom
L1,19.41,-36.695,0,bottom
L2,24.51,-2.495,90,bottom
R1,48.76,-42.9,270,bottom
R10,8.01,-70.395,180,bottom
R11,8.01,-65.495,180,bottom
R12,8.11,-62.195,180,bottom
R13,7.675,-63.795,270,bottom
R14,53.875,-38.9,270,bottom
R15,26.91,-29.995,180,bottom
R16,16.56,-9.445,270,bottom
R17,20.81,-9.445,270,bottom
R18,7.985,-69.195,180,bottom
R19,14.675,-16.285,270,bottom
R2,50.01,-42.9,270,bottom
R20,19.975,-21.295,270,bottom
R21,14.075,-50.445,0,bottom
R22,13.225,-68.845,0,bottom
R23,3.665,-81.545,180,bottom
R3,50.11,-36.4,270,bottom
R4,45.975,-38.245,270,bottom
R5,48.91,-36.41,90,bottom
R6,29.575,-43.295,90,bottom
R7,28.575,-43.295,90,bottom
R8,7.61,-71.995,270,bottom
R9,7.61,-66.995,270,bottom
SW1,51.275,-53.695,0,bottom
TH1,51.975,-37.695,180,bottom
U1,48.69,-39.545,0,bottom
U2,40.775,-40.595,0,bottom
U3,26.16,-37.745,0,bottom
U4,18.66,-9.3625,0,bottom
Y1,20.075,-31.395,0,bottom
Y2,31.675,-35.195,270,bottom
